hex_id;Geocodigo_Setor;Distrito;Intersect_Area
96x236;355030862000071;PINHEIROS;117133129482699.77
96x237;355030862000071;PINHEIROS;92220778789548.98
97x236;355030862000071;PINHEIROS;1569619361238.7432
94x236;355030862000072;PINHEIROS;7826357853645.175
94x237;355030862000072;PINHEIROS;83464217078316.36
94x238;355030862000072;PINHEIROS;157229710853784.28
95x237;355030862000072;PINHEIROS;116272561095487.48
95x238;355030862000072;PINHEIROS;147935125663202.88
95x239;355030862000072;PINHEIROS;108820553108260.2
96x237;355030862000072;PINHEIROS;70521189461167.11
96x238;355030862000072;PINHEIROS;192603045627557.34
96x237;355030862000073;PINHEIROS;178719350095980.7
96x238;355030862000073;PINHEIROS;11364225564644.662
97x237;355030862000073;PINHEIROS;3927494866673.7065
97x238;355030862000073;PINHEIROS;58275502931688.695
97x239;355030862000073;PINHEIROS;24378459736725.668
98x237;355030862000073;PINHEIROS;15978280852352.277
98x238;355030862000073;PINHEIROS;58636743258440.38
97x239;355030862000074;PINHEIROS;58857242591635.02
97x240;355030862000074;PINHEIROS;115436369103180.75
97x241;355030862000074;PINHEIROS;28891706993622.434
98x238;355030862000074;PINHEIROS;30460913626341.176
98x239;355030862000074;PINHEIROS;72593069470362.73
98x240;355030862000074;PINHEIROS;8247580375270.699
96x239;355030862000075;PINHEIROS;32171929247059.28
96x240;355030862000075;PINHEIROS;4028837792524.5195
96x241;355030862000075;PINHEIROS;2415007398317.0728
97x239;355030862000075;PINHEIROS;90585401615028.38
97x240;355030862000075;PINHEIROS;69649823615683.22
97x241;355030862000075;PINHEIROS;108115073836655.2
97x239;355030862000076;PINHEIROS;8964895156215.045
97x240;355030862000076;PINHEIROS;41394262097861.51
97x241;355030862000076;PINHEIROS;22564128710957.855
96x240;355030862000077;PINHEIROS;82498723705591.44
96x241;355030862000077;PINHEIROS;105991912567026.19
97x240;355030862000077;PINHEIROS;35249068421000.09
97x241;355030862000077;PINHEIROS;11136896529187.521
97x242;355030862000077;PINHEIROS;383770623343.5961
98x244;355030862000078;PINHEIROS;119606132791733.23
99x244;355030862000078;PINHEIROS;26911491584352.527
99x245;355030862000078;PINHEIROS;50337366110038.53
100x245;355030862000079;PINHEIROS;14765174247922.521
101x245;355030862000079;PINHEIROS;68372363940221.2
101x246;355030862000079;PINHEIROS;19136083220546.195
101x245;355030862000080;PINHEIROS;28045078504628.62
101x246;355030862000080;PINHEIROS;6534828796864.796
101x245;355030862000081;PINHEIROS;23491953625670.242
101x246;355030862000081;PINHEIROS;10089301499919.54
102x245;355030862000081;PINHEIROS;13653553958214.662
